panstwo,rok,udzial_ev_procent,udzial_ev_dopasowany_procent
Austria,2020,9.53,12.339232864105956
Austria,2021,20.02,15.681647171406166
Austria,2022,21.87,21.018032727992182
Austria,2023,26.77,23.44325205256373
Austria,2024,24.25,28.349281908723295
Austria,2025,31.39,31.88890835281084
Belgia,2020,11.13,13.974711270738094
Belgia,2021,18.39,18.029366042735553
Belgia,2022,26.85,26.47341783278982
Belgia,2023,40.66,35.23615325241359
Belgia,2024,43.19,41.45687918093416
Belgia,2025,43.89,45.99237528186231
Bułgaria,2020,2.49,1.813559206772877
Bułgaria,2021,3.33,3.170655482406885
Bułgaria,2022,5.15,4.330902092416043
Bułgaria,2023,5.8500000000000005,5.670408055698417
Bułgaria,2024,7.52,7.946664280324849
Bułgaria,2025,6.08,9.905600065028155
Chorwacja,2020,1.87,1.986450414037708
Chorwacja,2021,3.9,2.9625550000654246
Chorwacja,2022,4.83,3.807065611156802
Chorwacja,2023,4.67,4.61362015328425
Chorwacja,2024,4.92,5.997400035443324
Chorwacja,2025,5.470000000000001,7.0790976544082
Cypr,2020,1.2,2.2419215763452707
Cypr,2023,8.809999999999999,7.845399831434382
Cypr,2024,12.33,9.950591771924106
Cypr,2025,15.35,12.18144722645625
Czechy,2020,2.58,2.4411824080057256
Czechy,2021,3.1100000000000003,3.3054609262272128
Czechy,2022,3.9,4.586631000361571
Czechy,2023,5.9,5.8879464300565765
Czechy,2024,7.21,7.154863879583854
Czechy,2025,9.99,8.600072559179333
Dania,2020,16.41,21.947103034543584
Dania,2021,35.22,29.886153630458796
Dania,2022,38.52,41.70356236727248
Dania,2023,45.88,47.85536992519532
Dania,2024,55.81,56.92981856272107
Dania,2025,71.07000000000001,62.840882102247086
Estonia,2020,2.28,2.741186759454778
Estonia,2021,2.98,3.4013719099791895
Estonia,2022,5.27,4.810405697332735
Estonia,2023,8.74,8.162456308919548
Estonia,2024,10.19,10.641334603636805
Estonia,2025,17.4,14.670163208021508
Finlandia,2020,18.130000000000003,27.574156122275117
Finlandia,2021,30.79,31.622233807472295
Finlandia,2022,37.59,35.679414811834455
Finlandia,2023,54.58,44.821854149983565
Finlandia,2024,49.6,50.471148913338915
Finlandia,2025,57.370000000000005,53.876514029225234
Francja,2021,18.3,15.719452818085717
Francja,2022,21.52,19.361974556707057
Francja,2023,25.86,24.576811216142737
Francja,2024,25.44,28.394405981822636
Francja,2025,26.700000000000003,31.512941098325197
Grecja,2020,2.65,3.2047464124814407
Grecja,2021,6.859999999999999,4.563693290179954
Grecja,2022,7.56,6.191247870673735
Grecja,2023,11.01,10.593737812883154
Grecja,2024,11.59,14.83211126329859
Grecja,2025,14.24,16.998588824208625
Hiszpania,2020,4.93,4.594252323787495
Hiszpania,2021,7.83,6.185568763204068
Hiszpania,2022,9.75,10.304980304424522
Hiszpania,2023,12.33,12.885512130499608
Hiszpania,2024,11.54,15.953650959430501
Hiszpania,2025,20.15,17.70499789905009
Holandia,2020,24.88,24.18359791663755
Holandia,2021,29.48,29.967188891468787
Holandia,2022,34.29,37.64277935732244
Holandia,2023,43.13,44.157306092769694
Holandia,2024,48.16,49.540995695884
Holandia,2025,59.11,53.49698348503522
Irlandia,2020,7.24,6.893333458218385
Irlandia,2021,15.88,11.749537972688168
Irlandia,2022,22.3,24.47613869344076
Irlandia,2023,27.26,23.801486777926122
Irlandia,2024,24.73,30.545435128580216
Irlandia,2025,34.03,37.96621292893816
Litwa,2020,1.2799999999999998,2.7289121912202745
Litwa,2021,3.83,3.154069363781483
Litwa,2022,8.06,5.380262580520441
Litwa,2023,10.26,9.12557646757957
Litwa,2024,12.25,13.277206124937713
Litwa,2025,17.950000000000003,16.51979631399884
Luksemburg,2020,11.86,12.524512089077652
Luksemburg,2021,21.22,17.98018541098337
Luksemburg,2022,25.21,26.27541737335935
Luksemburg,2023,33.43,31.034202004804268
Luksemburg,2024,35.86,35.07942067698913
Luksemburg,2025,34.86,40.294152987545864
Malta,2025,44.34,44.33999999999974
Niemcy,2020,13.4,14.132079978200926
Niemcy,2021,25.700000000000003,17.43488804090981
Niemcy,2022,31.07,21.61235386483573
Niemcy,2023,24.39,26.905041218474196
Niemcy,2024,20.24,30.84978503997507
Niemcy,2025,29.97,34.94308136076715
Polska,2020,1.88,2.679180338828124
Polska,2021,3.64,3.486449471533441
Polska,2022,5.25,4.235812137223768
Polska,2023,6.34,5.7131609144611355
Polska,2024,5.7,7.522796195369173
