rok,liczba_ev_realistyczny,zuzycie_energii_twh_realistyczny,liczba_ev_umiarkowanie_optymistyczny,zuzycie_energii_twh_umiarkowanie_optymistyczny,liczba_ev_optymistyczny,zuzycie_energii_twh_optymistyczny,przebieg_roczny_km,zuzycie_ev_kwh_na_100_km,straty_ladowania,zuzycie_jednego_ev_kwh_rocznie
2025,202955.0,0.6027763500000001,202955.0,0.6027763500000001,202955.0,0.6027763500000001,15000.0,18.0,0.1,2970.0000000000005
2026,274294.6352124231,0.8146550665808967,280696.37206707,0.8336682250391979,289963.3857315165,0.8611912556226042,15000.0,18.0,0.1,2970.0000000000005
2027,360017.9083980115,1.0692531879420943,381818.20617299865,1.134000072333806,414791.2438538968,1.2319299942460737,15000.0,18.0,0.1,2970.0000000000005
2028,460573.74166387535,1.36790401274171,509284.3421693952,1.512574496243104,585241.5873816004,1.7381675145233535,15000.0,18.0,0.1,2970.0000000000005
2029,575639.234035764,1.7096485250862192,664887.1917119586,1.9747149593845175,806296.2307309058,2.3946998052707906,15000.0,18.0,0.1,2970.0000000000005
2030,704337.3299831909,2.091881870050077,849317.9329431924,2.522474260841282,1079452.137618794,3.205972848727819,15000.0,18.0,0.1,2970.0000000000005
2031,845585.8984124328,2.5113901182849254,1062552.3013586786,3.155780335035276,1403204.649717974,4.1675178096623835,15000.0,18.0,0.1,2970.0000000000005
2032,998396.18729483,2.9652366762656457,1304266.1724469678,3.8736705321674947,1774055.371940322,5.268944454662757,15000.0,18.0,0.1,2970.0000000000005
2033,1162027.2021866636,3.4512207904943915,1574088.7172638932,4.675043490273763,2187446.5944745447,6.4967163855894,15000.0,18.0,0.1,2970.0000000000005
2034,1336013.3262156337,3.9679595788604325,1871678.481624954,5.558885090426114,2638425.486079566,7.836123693656313,15000.0,18.0,0.1,2970.0000000000005
2035,1521059.5986954542,4.5175470081255,2197765.437052291,6.527363348045305,3122702.3921406665,9.274426104657781,15000.0,18.0,0.1,2970.0000000000005
2036,1716209.5327143942,5.097142312161751,2550865.909924416,7.576071752475516,3634949.842205779,10.795801031351166,15000.0,18.0,0.1,2970.0000000000005
2037,1921531.187953105,5.706947628220722,2930456.202104736,8.703454920251069,4171069.356420759,12.388075988569657,15000.0,18.0,0.1,2970.0000000000005
2038,2137173.0692412383,6.347404015646479,3335871.324311765,9.907537833205945,4727526.498312359,14.040753699987707,15000.0,18.0,0.1,2970.0000000000005
2039,2363333.7535714805,7.019101248107298,3766298.0463436255,11.18590519764057,5301359.214966922,15.745036868451761,15000.0,18.0,0.1,2970.0000000000005
2040,2600241.0175331333,7.722715822073408,4220786.778826083,12.535736733113469,5890141.8413294535,17.493721268748477,15000.0,18.0,0.1,2970.0000000000005
