"Category","BEV","PHEV","H2","LPG","CNG","LNG"
"Austria",261580,95470,55,624,5086,
"Belgium",426993,355314,111,33569,16167,
"Bulgaria",21241,6428,1,173206,23471,
"Croatia",11354,10012,,55212,221,
"Cyprus",3404,2042,,209,,
"Czech Republic",54864,32163,35,130324,27835,
"Denmark",505298,131388,43,15,172,
"Estonia",10037,7387,38,11016,4847,1
"Finland",159469,185059,16,18,17722,
"France",1535021,814250,1550,329257,15115,
"Germany",2126719,1083447,1775,319123,87762,
"Greece",27223,35574,,222256,6629,
"Hungary",88063,14589,11,24056,3173,
"Iceland",35769,26586,26,1,1666,
"Ireland",100012,60285,,510,182,
"Italy",366363,357312,59,2862160,1096205,
"Latvia",9950,3463,,49516,861,
"Liechtenstein",1793,210,,0,,
"Lithuania",20591,17294,1,98140,1512,45
"Luxembourg",39525,18206,5,387,183,
"Malta",9302,5078,,2023,,
"Netherlands",681210,483312,686,125770,5054,9
"Norway",931803,209132,154,,536,
"Poland",112155,100278,340,3702900,6416,
"Portugal",219540,159227,7,89826,299,
"Romania",58077,18305,,256737,340,
"Slovakia",18786,13809,,53623,4113,
"Slovenia",18928,4752,,13048,311,
"Spain",292351,323532,118,211260,22436,
"Sweden",459316,339563,46,15,39834,
"Switzerland",268256,125180,300,101,16775,
"Turkey",315777,54863,,5186040,546,
"United Kingdom",1738161,867695,277,23890,,
