"Category","BEV","PHEV","H2","LPG","CNG","LNG"
"Austria",3.72,1.3,0,0.01,0.1,
"Belgium",3.71,4.62,0,0.44,0.23,
"Bulgaria",0.56,0.17,0,5.01,0.69,
"Croatia",0.48,0.37,,2.52,0.01,
"Cyprus",0.29,0.19,,0.03,,
"Czech Republic",0.45,0.31,0,1.73,0.38,
"Denmark",11.09,4.04,0,0,0.01,
"Estonia",0.62,0.22,0,0.64,0.72,
"Finland",2.84,3.87,0,0,0.41,
"France",3.03,1.63,0,0.65,0.03,
"Germany",3.3,1.84,0,0.6,0.17,
"Greece",0.28,0.37,,2.97,0.09,
"Hungary",1.46,0.26,0,0.48,0.07,
"Iceland",8.98,7.01,0.01,0,0.52,
"Ireland",2.66,1.46,,0.02,0.01,
"Italy",0.65,0.63,0,6.03,2.4,
"Latvia",0.99,0.16,,5.77,0.1,
"Liechtenstein",4.47,0.42,,0,,
"Lithuania",0.91,0.68,0,5.44,0.06,0
"Luxembourg",6.57,3.4,0,0.07,0.04,
"Malta",2.07,1.26,,0.54,,
"Netherlands",5.83,3.66,0.01,1.23,0.05,0
"Norway",23.99,6.07,0,,0.02,
"Poland",0.32,0.27,0,14.6,0.03,
"Portugal",2.39,1.83,0,1.03,0,
"Romania",0.54,0.16,,2.63,0,
"Slovakia",0.51,0.36,,1.72,0.14,
"Slovenia",1.28,0.24,,0.65,0.05,
"Spain",0.72,0.8,0,0.59,0.08,
"Sweden",6.91,5.61,0,0,0.74,
"Switzerland",4.08,1.93,0.01,0,0.32,
"Turkey",0.85,0.09,,24.09,0,
"United Kingdom",3.52,1.77,0,0.06,,
