"Category","BEV","PHEV","H2","LPG","CNG","LNG"
"2008",,,,,,
"2009",0,,,0.89,0.16,
"2010",0.01,,,0.99,0.17,
"2011",0.01,0,,1.06,0.17,
"2012",0.02,0,,1.14,0.18,
"2013",0.03,0.01,0,1.14,0.18,
"2014",0.04,0.02,0,1.11,0.18,
"2015",0.06,0.04,0,1.06,0.18,
"2016",0.07,0.07,0,0.98,0.17,
"2017",0.12,0.1,0,0.91,0.16,
"2018",0.18,0.14,0,0.84,0.17,
"2019",0.29,0.21,0,0.78,0.18,
"2020",0.64,0.58,0,0.74,0.17,
"2021",1.27,1.17,0,0.71,0.17,
"2022",2.07,1.77,0,0.69,0.17,
"2023",2.87,1.88,0,0.68,0.16,
"2024",3.35,1.96,0,0.61,0.15,
