"Category","BEV","PHEV","H2","LPG","CNG","LNG"
"2008",1300,,,306402,60744,
"2009",1588,,,369430,68515,
"2010",2307,,,418659,71519,
"2011",4541,112,,456252,74853,
"2012",7114,1332,,494777,76284,
"2013",12156,2932,7,500867,79065,
"2014",18948,6956,10,494148,81423,
"2015",25502,17439,96,475711,80300,
"2016",34022,32049,145,448025,77187,
"2017",53861,44419,227,421283,75459,
"2018",83175,66997,338,395592,80776,
"2019",136617,102045,539,371472,83716,
"2020",309083,279651,738,359441,83112,
"2021",618460,565742,1236,345098,83207,
"2022",1013009,864547,2122,338809,84173,
"2023",1408681,921777,2122,333975,80453,
"2024",1651643,967423,1802,299922,73123,
"2025",2026423,1078308,1689,302874,72783,
