DATAFLOW,LAST UPDATE,freq,na_item,ppp_cat,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:PRC_PPP_IND(1.0),10/07/25 11:00:00,Annual,Volume indices of real expenditure per capita (in PPS_EU27_2020=100),Actual individual consumption,Albania,2005,26,,
ESTAT:PRC_PPP_IND(1.0),10/07/25 11:00:00,Annual,Volume indices of real expenditure per capita (in PPS_EU27_2020=100),Actual individual consumption,Albania,2006,26,,
ESTAT:PRC_PPP_IND(1.0),10/07/25 11:00:00,Annual,Volume indices of real expenditure per capita (in PPS_EU27_2020=100),Actual individual consumption,Albania,2007,29,,
ESTAT:PRC_PPP_IND(1.0),10/07/25 11:00:00,Annual,Volume indices of real expenditure per capita (in PPS_EU27_2020=100),Actual individual consumption,Albania,2008,32,,
ESTAT:PRC_PPP_IND(1.0),10/07/25 11:00:00,Annual,Volume indices of real expenditure per capita (in PPS_EU27_2020=100),Actual individual consumption,Albania,2009,33,,
ESTAT:PRC_PPP_IND(1.0),10/07/25 11:00:00,Annual,Volume indices of real expenditure per capita (in PPS_EU27_2020=100),Actual individual consumption,Albania,2010,34,,
ESTAT:PRC_PPP_IND(1.0),10/07/25 11:00:00,Annual,Volume indices of real expenditure per capita (in PPS_EU27_2020=100),Actual individual consumption,Albania,2011,35,,
ESTAT:PRC_PPP_IND(1.0),10/07/25 11:00:00,Annual,Volume indices of real expenditure per capita (in PPS_EU27_2020=100),Actual individual consumption,Albania,2012,36,,
ESTAT:PRC_PPP_IND(1.0),10/07/25 11:00:00,Annual,Volume indices of real expenditure per capita (in PPS_EU27_2020=100),Actual individual consumption,Albania,2013,36,,
ESTAT:PRC_PPP_IND(1.0),10/07/25 11:00:00,Annual,Volume indices of real expenditure per capita (in PPS_EU27_2020=100),Actual individual consumption,Albania,2014,37,,
ESTAT:PRC_PPP_IND(1.0),10/07/25 11:00:00,Annual,Volume indices of real expenditure per capita (in PPS_EU27_2020=100),Actual individual consumption,Albania,2015,38,,
ESTAT:PRC_PPP_IND(1.0),10/07/25 11:00:00,Annual,Volume indices of real expenditure per capita (in PPS_EU27_2020=100),Actual individual consumption,Albania,2016,37,,
ESTAT:PRC_PPP_IND(1.0),10/07/25 11:00:00,Annual,Volume indices of real expenditure per capita (in PPS_EU27_2020=100),Actual individual consumption,Albania,2017,36,,
ESTAT:PRC_PPP_IND(1.0),10/07/25 11:00:00,Annual,Volume indices of real expenditure per capita (in PPS_EU27_2020=100),Actual individual consumption,Albania,2018,36,,
ESTAT:PRC_PPP_IND(1.0),10/07/25 11:00:00,Annual,Volume indices of real expenditure per capita (in PPS_EU27_2020=100),Actual individual consumption,Albania,2019,37,,
ESTAT:PRC_PPP_IND(1.0),10/07/25 11:00:00,Annual,Volume indices of real expenditure per capita (in PPS_EU27_2020=100),Actual individual consumption,Albania,2020,36,,
ESTAT:PRC_PPP_IND(1.0),10/07/25 11:00:00,Annual,Volume indices of real expenditure per capita (in PPS_EU27_2020=100),Actual individual consumption,Albania,2021,36,,
ESTAT:PRC_PPP_IND(1.0),10/07/25 11:00:00,Annual,Volume indices of real expenditure per capita (in PPS_EU27_2020=100),Actual individual consumption,Albania,2022,39,,
ESTAT:PRC_PPP_IND(1.0),10/07/25 11:00:00,Annual,Volume indices of real expenditure per capita (in PPS_EU27_2020=100),Actual individual consumption,Albania,2023,41,,
ESTAT:PRC_PPP_IND(1.0),10/07/25 11:00:00,Annual,Volume indices of real expenditure per capita (in PPS_EU27_2020=100),Actual individual consumption,Albania,2024,41,e,
ESTAT:PRC_PPP_IND(1.0),10/07/25 11:00:00,Annual,Volume indices of real expenditure per capita (in PPS_EU27_2020=100),Actual individual consumption,Austria,2005,123,,
ESTAT:PRC_PPP_IND(1.0),10/07/25 11:00:00,Annual,Volume indices of real expenditure per capita (in PPS_EU27_2020=100),Actual individual consumption,Austria,2006,123,,
ESTAT:PRC_PPP_IND(1.0),10/07/25 11:00:00,Annual,Volume indices of real expenditure per capita (in PPS_EU27_2020=100),Actual individual consumption,Austria,2007,120,,
ESTAT:PRC_PPP_IND(1.0),10/07/25 11:00:00,Annual,Volume indices of real expenditure per capita (in PPS_EU27_2020=100),Actual individual consumption,Austria,2008,118,,
ESTAT:PRC_PPP_IND(1.0),10/07/25 11:00:00,Annual,Volume indices of real expenditure per capita (in PPS_EU27_2020=100),Actual individual consumption,Austria,2009,121,,
ESTAT:PRC_PPP_IND(1.0),10/07/25 11:00:00,Annual,Volume indices of real expenditure per capita (in PPS_EU27_2020=100),Actual individual consumption,Austria,2010,120,,
ESTAT:PRC_PPP_IND(1.0),10/07/25 11:00:00,Annual,Volume indices of real expenditure per capita (in PPS_EU27_2020=100),Actual individual consumption,Austria,2011,120,,
ESTAT:PRC_PPP_IND(1.0),10/07/25 11:00:00,Annual,Volume indices of real expenditure per capita (in PPS_EU27_2020=100),Actual individual consumption,Austria,2012,122,,
ESTAT:PRC_PPP_IND(1.0),10/07/25 11:00:00,Annual,Volume indices of real expenditure per capita (in PPS_EU27_2020=100),Actual individual consumption,Austria,2013,123,,
ESTAT:PRC_PPP_IND(1.0),10/07/25 11:00:00,Annual,Volume indices of real expenditure per capita (in PPS_EU27_2020=100),Actual individual consumption,Austria,2014,122,,
ESTAT:PRC_PPP_IND(1.0),10/07/25 11:00:00,Annual,Volume indices of real expenditure per capita (in PPS_EU27_2020=100),Actual individual consumption,Austria,2015,121,,
ESTAT:PRC_PPP_IND(1.0),10/07/25 11:00:00,Annual,Volume indices of real expenditure per capita (in PPS_EU27_2020=100),Actual individual consumption,Austria,2016,119,,
ESTAT:PRC_PPP_IND(1.0),10/07/25 11:00:00,Annual,Volume indices of real expenditure per capita (in PPS_EU27_2020=100),Actual individual consumption,Austria,2017,117,,
ESTAT:PRC_PPP_IND(1.0),10/07/25 11:00:00,Annual,Volume indices of real expenditure per capita (in PPS_EU27_2020=100),Actual individual consumption,Austria,2018,116,,
ESTAT:PRC_PPP_IND(1.0),10/07/25 11:00:00,Annual,Volume indices of real expenditure per capita (in PPS_EU27_2020=100),Actual individual consumption,Austria,2019,115,,
ESTAT:PRC_PPP_IND(1.0),10/07/25 11:00:00,Annual,Volume indices of real expenditure per capita (in PPS_EU27_2020=100),Actual individual consumption,Austria,2020,113,,
ESTAT:PRC_PPP_IND(1.0),10/07/25 11:00:00,Annual,Volume indices of real expenditure per capita (in PPS_EU27_2020=100),Actual individual consumption,Austria,2021,117,,
ESTAT:PRC_PPP_IND(1.0),10/07/25 11:00:00,Annual,Volume indices of real expenditure per capita (in PPS_EU27_2020=100),Actual individual consumption,Austria,2022,117,,
ESTAT:PRC_PPP_IND(1.0),10/07/25 11:00:00,Annual,Volume indices of real expenditure per capita (in PPS_EU27_2020=100),Actual individual consumption,Austria,2023,114,,
ESTAT:PRC_PPP_IND(1.0),10/07/25 11:00:00,Annual,Volume indices of real expenditure per capita (in PPS_EU27_2020=100),Actual individual consumption,Austria,2024,112,,
ESTAT:PRC_PPP_IND(1.0),10/07/25 11:00:00,Annual,Volume indices of real expenditure per capita (in PPS_EU27_2020=100),Actual individual consumption,Bosnia and Herzegovina,2005,37,,
ESTAT:PRC_PPP_IND(1.0),10/07/25 11:00:00,Annual,Volume indices of real expenditure per capita (in PPS_EU27_2020=100),Actual individual consumption,Bosnia and Herzegovina,2006,37,,
ESTAT:PRC_PPP_IND(1.0),10/07/25 11:00:00,Annual,Volume indices of real expenditure per capita (in PPS_EU27_2020=100),Actual individual consumption,Bosnia and Herzegovina,2007,38,,
ESTAT:PRC_PPP_IND(1.0),10/07/25 11:00:00,Annual,Volume indices of real expenditure per capita (in PPS_EU27_2020=100),Actual individual consumption,Bosnia and Herzegovina,2008,39,,
ESTAT:PRC_PPP_IND(1.0),10/07/25 11:00:00,Annual,Volume indices of real expenditure per capita (in PPS_EU27_2020=100),Actual individual consumption,Bosnia and Herzegovina,2009,39,,
ESTAT:PRC_PPP_IND(1.0),10/07/25 11:00:00,Annual,Volume indices of real expenditure per capita (in PPS_EU27_2020=100),Actual individual consumption,Bosnia and Herzegovina,2010,39,,
ESTAT:PRC_PPP_IND(1.0),10/07/25 11:00:00,Annual,Volume indices of real expenditure per capita (in PPS_EU27_2020=100),Actual individual consumption,Bosnia and Herzegovina,2011,39,,
ESTAT:PRC_PPP_IND(1.0),10/07/25 11:00:00,Annual,Volume indices of real expenditure per capita (in PPS_EU27_2020=100),Actual individual consumption,Bosnia and Herzegovina,2012,40,,
ESTAT:PRC_PPP_IND(1.0),10/07/25 11:00:00,Annual,Volume indices of real expenditure per capita (in PPS_EU27_2020=100),Actual individual consumption,Bosnia and Herzegovina,2013,41,,
ESTAT:PRC_PPP_IND(1.0),10/07/25 11:00:00,Annual,Volume indices of real expenditure per capita (in PPS_EU27_2020=100),Actual individual consumption,Bosnia and Herzegovina,2014,41,,
ESTAT:PRC_PPP_IND(1.0),10/07/25 11:00:00,Annual,Volume indices of real expenditure per capita (in PPS_EU27_2020=100),Actual individual consumption,Bosnia and Herzegovina,2015,41,,
ESTAT:PRC_PPP_IND(1.0),10/07/25 11:00:00,Annual,Volume indices of real expenditure per capita (in PPS_EU27_2020=100),Actual individual consumption,Bosnia and Herzegovina,2016,41,,
ESTAT:PRC_PPP_IND(1.0),10/07/25 11:00:00,Annual,Volume indices of real expenditure per capita (in PPS_EU27_2020=100),Actual individual consumption,Bosnia and Herzegovina,2017,40,,
