Rok,Kraj,EV w flocie,Nowe rejestracje EV,Procent EV w flocie,Procent nowych rejestracji EV
2008,Czechy,,0.0,,
2008,Dania,,0.0,,
2008,Hiszpania,,0.0,,
2008,Niemcy,,0.0,,
2008,Polska,,0.0,,
2009,Czechy,,0.0,,0.0
2009,Dania,,31.0,,0.02
2009,Hiszpania,,1.0,,0.0
2009,Niemcy,,15.0,,0.0
2009,Polska,,0.0,,0.0
2010,Czechy,,4.0,,0.0
2010,Dania,,20.0,,0.01
2010,Hiszpania,,73.0,,0.01
2010,Niemcy,,144.0,,0.0
2010,Polska,,0.0,,0.0
2011,Czechy,,56.0,,0.03
2011,Dania,,415.0,,0.24
2011,Hiszpania,,576.0,,0.07
2011,Niemcy,4653.0,2094.0,0.01,0.06999999999999999
2011,Polska,,35.0,,0.01
2012,Czechy,158.0,108.0,0.0,0.060000000000000005
2012,Dania,970.0,504.0,0.04,0.30000000000000004
2012,Hiszpania,1132.0,552.0,0.0,0.08
2012,Niemcy,8446.0,3787.0,0.02,0.12
2012,Polska,66.0,31.0,0.0,0.01
2013,Czechy,209.0,37.0,0.0,0.02
2013,Dania,1478.0,504.0,0.06,0.28
2013,Hiszpania,2211.0,1009.0,0.01,0.14
2013,Niemcy,15088.0,5879.0,0.04,0.19999999999999998
2013,Polska,103.0,31.0,0.0,0.01
2014,Czechy,471.0,71.0,0.01,0.04
2014,Dania,3005.0,1590.0,0.13,0.84
2014,Hiszpania,3444.0,1391.0,0.01,0.15
2014,Niemcy,25904.0,12462.0,0.06,0.41
2014,Polska,257.0,140.0,0.0,0.04
2015,Czechy,844.0,401.0,0.01,0.18000000000000002
2015,Dania,8439.0,4256.0,0.35000000000000003,2.06
2015,Hiszpania,6611.0,2222.0,0.03,0.21000000000000002
2015,Niemcy,42941.0,23370.0,0.1,0.73
2015,Polska,489.0,260.0,0.0,0.07
2016,Czechy,1234.0,339.0,0.02,0.13
2016,Dania,9757.0,1376.0,0.38999999999999996,0.6200000000000001
2016,Hiszpania,8887.0,3718.0,0.04,0.32
2016,Niemcy,66071.0,24506.0,0.14,0.75
2016,Polska,773.0,268.0,0.0,0.07
2017,Czechy,1957.0,617.0,0.04,0.23
2017,Dania,10523.0,950.0,0.42,0.43
2017,Hiszpania,16264.0,7400.0,0.07,0.5800000000000001
2017,Niemcy,98280.0,53360.0,0.22,1.55
2017,Polska,1712.0,893.0,0.0,0.18
2018,Czechy,4104.0,974.0,0.06999999999999999,0.37
2018,Dania,15172.0,4682.0,0.5900000000000001,2.15
2018,Hiszpania,28160.0,11664.0,0.12000000000000001,0.86
2018,Niemcy,150172.0,66251.0,0.32,1.92
2018,Polska,4610.0,1280.0,0.02,0.24
2019,Czechy,6168.0,1260.0,0.1,0.5
2019,Dania,25189.0,9309.0,0.95,4.12
2019,Hiszpania,45919.0,17852.0,0.19,1.37
2019,Niemcy,238662.0,105675.0,0.5,2.9299999999999997
2019,Polska,7577.0,2630.0,0.03,0.47
2020,Czechy,10925.0,5239.0,0.18,2.58
2020,Dania,60911.0,32522.0,2.24,16.41
2020,Hiszpania,86684.0,41992.0,0.35,4.93
2020,Niemcy,588734.0,390936.0,1.22,13.399999999999999
2020,Polska,15691.0,8035.0,0.06,1.88
2021,Czechy,14847.0,6423.0,0.25,3.1100000000000003
2021,Dania,144553.0,65287.0,5.1899999999999995,35.22
2021,Hiszpania,147440.0,67299.0,0.6000000000000001,7.83
2021,Niemcy,1184202.0,673756.0,2.44,25.700000000000003
2021,Polska,33766.0,16320.0,0.13,3.64
2022,Czechy,23725.0,7490.0,0.38,3.9
2022,Dania,217704.0,57143.0,7.79,38.519999999999996
2022,Hiszpania,216902.0,79337.0,0.86,9.75
2022,Niemcy,1877556.0,823888.0,3.84,31.07
2022,Polska,57256.0,22008.0,0.22,5.25
2023,Czechy,38124.0,13062.0,0.61,5.9
2023,Dania,323176.0,79283.0,11.3,45.88
2023,Hiszpania,330535.0,117016.0,1.2999999999999998,12.33
2023,Niemcy,2330458.0,693907.0,4.75,24.39
2023,Polska,98348.0,30113.0,0.36,6.34
2024,Czechy,54752.0,16684.0,0.81,7.21
2024,Dania,472006.0,96660.0,16.47,55.81
2024,Hiszpania,417290.0,117341.0,1.56,11.54
2024,Niemcy,2619066.0,570316.0,5.3100000000000005,20.240000000000002
2024,Polska,141455.0,31466.0,0.62,5.7
2025,Czechy,83944.0,22359.0,,9.85
2025,Dania,615764.0,115846.0,,69.72
2025,Hiszpania,579548.0,206727.0,,19.77
2025,Niemcy,3104731.0,771437.0,,29.54
2025,Polska,202955.0,55654.0,,11.58
