"Category","BEV","PHEV","H2","LPG","CNG","LNG"
"2008",29,,,31797,190,
"2009",34,,,37171,302,
"2010",38,,,42054,451,
"2011",72,,,47102,686,
"2012",145,13,,53490,1315,
"2013",191,18,,59245,1844,
"2014",417,54,,64576,3346,
"2015",713,131,,70496,6034,
"2016",974,260,,76169,9073,
"2017",1525,432,,82590,12392,
"2018",3405,699,,88392,14862,
"2019",4950,1218,,92897,17122,
"2020",8109,2816,1,96602,18732,
"2021",9051,5796,8,101616,20193,
"2022",14195,9530,11,108236,21308,
"2023",22441,15683,27,113630,22130,
"2024",31713,23039,28,119232,22853,
"2025",51903,32041,35,121984,22916,
